,ID,sentiment,text
39,afc326749d,negative,"grr. we are only allowed gas grills where i live, it sucks."
40,7b3132d3cc,positive,chillen trying to figure this thing out gettin drunk
41,c08a90abbd,positive,just finished yet another amazing book by susan elizabeth philips!!! god i love her books so much!!! which one to read next??? hmmm...
42,4331a46aba,negative,awhile ago it freaking hot! now it`s wet turn off!
43,9e29d43b20,neutral,i still have an hour.
44,7b474b659d,neutral,what up? why no tweets. are you also filming in a place w/ no signal? .hmmm.
45,434e673353,neutral,"home for the nite, sleeping on the pull out bed with maggie. wishing it was _durden i got to find a apt"
46,1b5a4bc443,positive,great! i`m glad you enjoy them i hope you have a great day
47,3f8df1fed3,neutral,up late with nothin 2 do.....
48,2b6bc6920b,negative,jus got back from a run up sunset blvd! my cuzin tried to kill me my legs are still movin and i`m sittin down!!
49,56c08b2df6,positive,"100,000 / 60 = 1667 words/day. 1667 / 10 = 167 words/hour. 167 / 60 = 2.8 words/minute. no pressure."
50,ad37dcf4ff,positive,out for ultimate training. looking forward to the sunset!
51,f422f53b7f,positive,we shuld do a dance like that its seriously the best thing haha. see yu tomoro.
52,694a98d42f,positive,"haha lol no one is effing cool as you, you got the wu-tang and p.e. t-shirts! you are gorgeous + represent at the same time"
53,0b1fad03e9,neutral,"i know dude, i`m doing re-runs, making jenny watch them now too so we can have conversations lol. haven`t been online much"
54,502aa24ca7,neutral,downing a glass of ginger ale and then relishing an early evening in bed with 'because i said so' on lifetime.
55,fbea09d42d,negative,thinks revising in the garden from 8 this morning without sunscreen isnt the best idea ive had oucccccccch
56,b9285b80a9,negative,not well again it`s definitely not hayfever
57,52fd9f56fb,positive,is off to work ... still 'recovering' from an amazing and beautiful weekend. have i mentioned how incredible my friends are??
58,94977637ab,negative,"no transport for church wont be making it, im crushed. oh well, more time for assignments i suppose. my throat really hurts ..."
59,3f7adda0a4,positive,glorious sunny day in london town.. i`m in drama school fighting people with swords while protecting my romantically structured face
60,d5712716e9,positive,well thank your phone for me.
61,5865232bd7,neutral,"well, my question is on your blog post"
62,9f69f15ca6,neutral,what`s the matter?
63,558fe1316b,neutral,on a 10min brake. at wrrkk ... its 11:06 and its over at. 11:16
64,3d4b0a81a6,neutral,i think your blog should`ve been on the list
65,11e23ea0ed,neutral,lol -catch me if u can
66,a2bbae6c4c,positive,yup! now i can join in on the nin access fun!
67,2fe4f05a35,positive,_louise bless ya... i know that feeling all too well!
68,4219979931,neutral,it is possible to frown while eating a frosty
69,a3893b1fce,neutral,up and at`m getting ready for work
70,0d737380e2,neutral,grrrrrrrrrrrrrr ive barely read any of it
71,898b9a9338,positive,why did i drive and how did i make it? ahh margaritas are the best!!
72,7db93d25c6,negative,"_fan76 rofl! that`s my problem, only two hands"
73,89d9167173,negative,so many farewell parties! sad to see people leaving ..
74,a7a5cb1584,negative,"gosh, watchin cosmetic surgery nightmares on itv , it is awful"
75,2132f07ca3,positive,i love that song! i was starting to think i was the only one that knew that one! #sameperson
76,8e65e54144,neutral,will do hun. yes yes.
77,11a3a0fb9d,positive,"thank you. usually the learning happens after i get a little rest and review my notes. which reminds me, i`d better get some rest"
78,b56108fc36,positive,hahaha niene ur soo smart.! lmao i think that is who its by.. good lookin.. whts up gurlie?? i come home this weekend.!
79,eadd269ce5,positive,packing gym bag. off to the gym in a bit. squee! i`m my happiest whem i`m on the go.
80,5575fdaf3c,negative,with hubby at the dentist ready to hold his hand and getting nervy about potentially buying a car tomorrow
81,6634c62acf,positive,hahaha! alright ..
82,56f5217a16,positive,happy birthday ness!!
83,bb3ef3c925,positive,thanks anyway
84,df9709f719,negative,dammit. i need new cupcake tins
85,c8307a482d,neutral,learning tat the scenic way din plan to go town but somehow was herded there?
86,6ff99dcdc1,positive,finally made it to the qc...happy mother`s day! got my car!!
87,a0c3ef4a01,positive,watching snl with guess justin timberlake...omg! he is too funny! hahahah
88,9acf7846ab,negative,"ok i`m frustrated, there is hella dust between the screens of my blackberry"
89,245e5f25e2,neutral,went 2 see the hannah montana movie wiv jodie on friday and it was well good but i feel nasty for laughing at the lil girl that cryed lol
90,adf5be9ada,positive,i need a hug cuz these garbage truck men keep driving next to me whistling and im working too hard 2 graduate...
91,c89e41fc7c,neutral,follow me too
92,ae45bdeb6d,negative,humidity is not my friend! just ask my hair
93,b2e3ebc647,negative,"waiting for aaron to get into town, and then leave him for work. booo"
94,4ed4f2fce6,negative,caught tweets on it and got home in time for the last 5 mins of the itv2 show!! #bgt out tonight too so will miss it again
95,e243bee98c,positive,looking at our photo shoot pics...check out our myspace pics to see them...i love them all...
96,8eedc5a2ed,negative,i broke my ipod
97,727e51734b,negative,"think you should do a tour in england, we dont got to see any aweomse people !!"
98,4200e8b73c,negative,omg - madness just came on the radio
99,d6b053947f,negative,not at all happy...dont know what the reason is
100,c2392d49e0,neutral,one of our governors is one of the directors of the company
101,fcc4f3baa5,neutral,ahh ok! enjoy! i`ll miss it
102,118e2d6168,positive,senior ball was hella fun!!! good night!!!
103,bc6d7b4364,negative,wow that was fast...next up soderling or ferrer. gilles simon lost
104,6ffc960726,neutral,had fun at the airshow with the boys today - exhausted
105,d98aa88591,neutral,no trump casino in vegas.
106,64b297c15e,positive,says my new layout is so cute x) see the cuties ? hahahah http://plurk.com/p/suqp6
107,ea5c577cb7,negative,lol exams i didn`t go to mcast or other school i finished form 5 and that`s it soo disappointed in myself
108,820f19ca44,neutral,"missed all your tweets again joe, **** that time difference!!! (uk) dont 4get about your fave supporters in the uk!!! ****"
109,b9b983a83c,positive,yea!! way to go! super excited for a great midwest resource!!! midwest pride!
110,87b8d7449f,neutral,saw the blink show from the tmobile party. i`m speachless
111,1eac051f9c,negative,wow the last hour of twittering that i`ve been doing has yet to be sent over to twitter.. guys bare w me...
112,5f80970983,neutral,yay doctors now interview then back 2 the doctor`s for blood work
113,96e1deb162,neutral,"i could, but that would require today not to be a duvet day. i imagine that my outfit for the wendyhouse will be photo worthy"
114,6957e5f1bf,neutral,how come?
115,4f1a7d1d2c,negative,yup its working. they couldn`t recover anything on it though
116,68a6cf591a,positive,"_d aaaww!! that`s so good to know, i`m glad james is doing great we love you guys! kisses from venezuela!"
117,309706ed4f,positive,"home, good night world"
118,b3d1523864,neutral,i think you should do it with hannah
119,b6d2229b03,neutral,i`d love to but i think the trek from london would be a bit too much
120,226df3194c,neutral,"yay, watching supernatural .. great way to end a hard day. i miss you jesse."
121,95dfefd4e7,positive,well off 2 bed...cant wait 2 party 4 mother`s day in like 14 hours or so
122,83c92f835b,negative,still freakin out about missing the game!!! #jonasnewsongs
123,ae93ad52a0,negative,"so hot today =_= don`t like it and i hate my new timetable, having such a bad week"
124,b3c6a71077,negative,getting stressed over a sortie tomorrow. and like i am really really stress..
125,c635a113c8,positive,thanks! i`m totally bushed today though time for some coding
126,f85c7e5ead,negative,"ben & jerry`s fail. got email for free ice cream. says click here to redeem coupon. when i click, i get error message"
127,8244eb7ae9,negative,"omg, no icecream"
128,0e0424c9bd,negative,home alone and no one left me any gummy bears
129,ffe02fe3f5,neutral,"eatin dinna, herd tom brady not movin 2 fast"
130,d86941ec1c,neutral,fatty! omg i just found the worst **** out and idk what to do i need to talk to you!! hopefully i see you when you get off work.
131,433b1ab9ea,positive,ahhh my mommie got me new sheets for my bed so comfy
132,52c2bbf770,negative,_**** cheer up lizzi there will b another foh hero concert but still i suppose we can b upset xoxoxo
133,e2505e6219,positive,"#sanctuarysunday thanks for joining on #sanctuarysunday, follow more sanctuary people to keep up to date on the tweets!"
134,06b8d9e26c,positive,welcome
135,da39cbf3e8,neutral,"_jlh lol that`s a special kind of magic, though! ;) and did you see the special on discovery? they think nessie died."
136,9b46f1ae17,positive,"thanks, hope you have a good one"
137,31d77e5ff5,neutral,is in php website upgrade hell on a bank holiday. how`s that for planning!
138,864cddfae8,negative,ooo my goddddd; vodafone trouble. no network
139,8531be3694,positive,"_griffiths there was a good atmos. i decided to stay til closing, very funny!"
140,4ed24c845a,negative,writing an essay in college writing so boring
141,819626535b,positive,"glad to hear you made it out, i hear that place used to be it`s own country looking forward to your arrival!"
142,31d03bff54,positive,"i would lime them. or lemon? and deal, sounds fabulous to me! text me up when you`re back"
143,6068de7168,negative,"hey, is your site down? i was going to listen to the web stream but can`t get to the site..."
144,e344ef4cf6,neutral,that`s actually not too far from the truth
145,eeb047e369,neutral,on way back home after a crazy night on the coast
146,eaf8a522e9,neutral,arrr bummer who do you want to win?
147,8e7d2d0ea4,negative,bye la... i already miss you
148,a240940b31,positive,"never realized how good #techmeme is until i actually read it (duh!) as an avid tech crunch reader, this is much better..."
149,5f42a2d026,neutral,no way to comment on site unless you are a member
150,3c58b704f2,neutral,just finished down loading aim6.9 and guess what! i can get updates from twitter on it! message me at: i am katie arttt
151,a4d578eeb1,neutral,"is at work.... boo! the pin-ups will be playing at uncommon ground wednesday night at 9 p.m.! (1401 w. devon ave., chicago 60660"
152,c3c168bc80,neutral,orange vitamin water 10 is my new addiction u should try it.
153,f87b8847a9,neutral,i want to get super pretty and i want a cig
154,bd74c21c43,neutral,nachos and the tudors? i think so
155,9bb06e4848,neutral,you should check yourz rayne.
156,f90a6f5da0,negative,i am so sorry
157,144e6fb3ad,neutral,"lazy day, staying off the foot as much as possible."
158,ebf2a10961,negative,i kno!!! im so sad! evry1 is leavin its horrible! im supposed to b happy for summer but i cant ima miss evry1!
159,80ea9ba96f,positive,had a lovely breakfast with mum...yummy pancakes
160,56a15cf6ca,negative,"hate working when its sunny,boohoo"
161,5fc411e8d1,neutral,_berland lmao i know i know
162,75499e3bd1,positive,fun is being had.
163,c12a98d8f3,positive,i so can`t be bothered working tomorrow!
164,ee55b5844d,negative,i`m all scared and bruised.
165,e8bbfed756,neutral,"trying this twitter thing out. facebook is finally a routine for me, now i need to figure out how to do the twitter thing"
166,36589d3c2d,neutral,homework. ew fml. should i pull an all nighter? i think i`m gonna have to again
167,83b44dda65,positive,"we didn`t...but we did have to wait a good twenty minutes for one. good night, though!"
168,e78f6d920b,neutral,good day in the sun... little bit burnt tho... well actualy quite alot very sore heh
169,2fac1b845b,neutral,whatever do you mean?
170,7d933d9d21,neutral,"yeah, it`s terrible cockatoos are the hardest to live with, so emotional. good thing he found you, though!!"
171,59fd038492,neutral,will play quake3 in 3min
172,f3e83b7d22,neutral,i am thinking about reading that too! she is talking about it on the view too! not that you miss it often
173,e71ac19463,neutral,"http://twitpic.com/4jbwh - we were at a sleepover, and nobody stops me when there`s a camera in my hand"
174,0b34e66ea3,negative,ok so this eye doctor guy is taking forever and i`m sitting in a cold room by myself...what? a jerk!
175,226adfd977,positive,tonight was fun
176,089f2af7b9,positive,i wish i could go to meet in the middle tomorrow.
177,6b6ff812c1,positive,"hahaha chivalry`s not dead, just rare"
178,82cdd851b7,neutral,"lmao, yep"
179,cf3b068b03,neutral,is watching acoustic performances! & in the mood for a good 'friends' episode! i miss that show
180,a17703215b,positive,having a cup of tea i have a cold so it`s tasting really good!
181,68e6a47c75,negative,"don`t think i`m gonna be able to go to see the jb 3d concert...wrong time, no where very close by"
182,ff9722bca7,negative,blah to car repairs... almost 600 dollars... shopping around for a better deal.
183,8628c6df3d,positive,gettin ready to hit up the mall w/my mom & jayden! do all things w/faith!!!!
184,3b388efbe6,negative,got to see 2 of my favorite guys back on long island heading back to the city tomorrow or monday to be with the boyfriend! <3
185,ce4b5fe266,positive,`s current goal is to lose 10 pounds by next tuesday! 120 here i come soooo ready for gatlinburg!
186,0927b99040,neutral,actually workin from home tonight... you?
187,c818fdf4b8,negative,http://twitpic.com/66xjl - an hour in the sun turned me into a blancmange. sucks to be pale
188,dfe5909132,neutral,imma miss dem kobe nd bron commrcials wen cleveland get knocked out doe they wer funny
189,dacb6d78af,positive,have fun tomorrow night. i think it will be more fun at a bar than art gallery. wish i could be there
190,3a013a37a6,neutral,a little twitter mention on snl
191,df82999f38,positive,"happy mothers day to all the moms it`s a tough job, but totally worth it!"
192,7a4f2f28ba,negative,i have not been this sick in years. omg. this sucks so bad. sickness ended up including a full restroom cleanup.
193,064a8c4847,negative,"does not feel like babysitting. i want to go to the gym. weird, i know. i miss zack"
194,e62ebf8ec0,neutral,"go to mid valley la **** haha! never mind la, i don`t wanna go with you anyways"
195,540fd43bae,positive,"just noticed the new sidebar on twitter.com, looks nice"
196,b1caa80c14,positive,just finished watching star trek in imax. . . could`ve watched it all night. . . live long and prosper
197,82ea51ab18,neutral,i wanna feel my chin
198,81950f02a4,positive,i got the new silverstein cd. aha. its amazing. i highly recomend it.
199,7a09871d21,neutral,_brown been holding onto this one for a while http://twitpic.com/4w5eh
